text,category
"paid for birthday gift, amount was 288",Gifts & Donations
monthly dental checkup payment of 690,Health
purchase of medicines - 3048,Health
recharged my taxi fare with 9659,Transport
bought cosmetics for 676,Personal Care
purchase of taxi fare - 3343,Transport
parking fee cost 12687,Transport
just got metro card recharge for 3955 rs,Transport
recharged my pastries with 816,Food
concert tickets cost 995,Entertainment
bought haircut for 808,Personal Care
dental checkup 4483,Health
just got textbooks for 10392 inr,Education
gift for anniversary cost 630,Gifts & Donations
"paid for jeans, amount was 7736",Shopping
spent 9967 on new shirt,Shopping
spent 1036 on medicines,Health
bought coursera specialization for 14536,Education
"paid for fuel for car, amount was 7613",Transport
purchase of watch - 13546,Shopping
medicines 2897 rupees,Health
paid 8230 inr for train ticket,Transport
paid 9241 for fuel for car,Transport
monthly pizza payment of 512,Food
hospital bill 434 inr,Health
"paid for textbooks, amount was 2590",Education
recharged my stationery with 8661,Education
paid 2353 for metro card recharge,Transport
textbooks cost 5779,Education
recharged my birthday gift with 77,Gifts & Donations
spent 11327 on pen and notebooks,Education
home decor 8928 inr,Shopping
paid 3787 rupees for house rent,Utilities
spent 9215 on gas cylinder,Utilities
purchase of sunglasses - 10010,Shopping
coursera specialization 3540 rupees,Education
magazine subscription 196,Other
DTH recharge 3200 rupees,Utilities
just got metro card recharge for 13548,Transport
bought lab test for 4337 rupees,Health
bought lab test for 2621 rs,Health
protein powder cost 549,Personal Care
just got hospital bill for 4359 inr,Health
just got flight ticket for 5874 rupees,Transport
"paid for home repair, amount was 144",Other
recharged my dental checkup with 477,Health
gym membership 538 rupees,Personal Care
spent 3082 on electricity bill,Utilities
"paid for wedding present, amount was 519",Gifts & Donations
just got car service for 14017 rupees,Transport
"paid for amusement park entry, amount was 450",Entertainment
just got skincare products for 13519 rupees,Shopping
spent 897 on coffee,Food
purchase of house rent - 7893,Utilities
monthly home decor payment of 12831,Shopping
bought takeout food for 531,Food
bought stationery for 1709 rs,Education
bought broadband payment for 4081,Utilities
paid 1813 inr for textbooks,Education
recharged my coffee with 664,Food
gift for anniversary 904,Gifts & Donations
just got pizza for 593 rs,Food
recharged my home decor with 3391,Shopping
"paid for hospital bill, amount was 3888",Health
spent 691 on vitamins,Health
recharged my fuel for car with 1059,Transport
paid 602 inr for cosmetics,Personal Care
spent 618 on gift for anniversary,Gifts & Donations
purchase of health insurance premium - 483,Health
just got pastries for 970 rupees,Food
monthly house rent payment of 9851,Utilities
bought movie tickets for 889 rupees,Entertainment
postage stamp 146 rs,Other
monthly maintenance fee payment of 6646,Utilities
book 10997 rupees,Shopping
"paid for haircut, amount was 496",Personal Care
"paid for band-aids, amount was 862",Health
stationery cost 3376,Education
bought home decor for 426 inr,Shopping
recharged my vitamins with 1352,Health
just got internet bill for 7183,Utilities
spent 8109 on skincare products,Shopping
purchase of band-aids - 4263,Health
paid 433 rs for movie tickets,Entertainment
"paid for amusement park entry, amount was 415",Entertainment
"paid for gift for anniversary, amount was 309",Gifts & Donations
spent 5471 on electricity bill,Utilities
bought salon visit for 463,Personal Care
postage stamp cost 438,Other
spent 541 on cosmetics,Personal Care
bought pastries for 857 inr,Food
"paid for Spotify premium, amount was 911",Entertainment
recharged my subscription service with 7244,Utilities
purchase of hospital bill - 530,Health
recharged my stationery with 13282,Education
paid 7076 inr for home decor,Shopping
purchase of stationery - 8721,Education
"paid for car service, amount was 917",Transport
just got dental checkup for 4178 inr,Health
"paid for video game, amount was 529",Entertainment
bought bank fee for 331 rupees,Other
paid 9146 for taxi fare,Transport
just got gift for anniversary for 772,Gifts & Donations
recharged my home decor with 7681,Shopping
"paid for bank fee, amount was 239",Other
spent 855 on exam fee,Education
monthly wedding present payment of 801,Gifts & Donations
maintenance fee 9507,Utilities
"paid for amusement park entry, amount was 135",Entertainment
purchase of internet bill - 8474,Utilities
spent 985 on pastries,Food
software license 510 rs,Other
bought amusement park entry for 640,Entertainment
spent 491 on contribution to fundraiser,Gifts & Donations
"paid for sunglasses, amount was 6501",Shopping
recharged my restaurant meal with 78,Food
spent 852 on salon visit,Personal Care
purchase of exam fee - 1644,Education
bought cosmetics for 967 rs,Personal Care
just got ice cream for 490 rupees,Food
"paid for running shoes, amount was 12613",Shopping
monthly pen and notebooks payment of 10618,Education
monthly software license payment of 335,Other
purchase of internet bill - 1809,Utilities
spent 924 on breakfast,Food
purchase of haircut - 861,Personal Care
paid 798 rs for sports match ticket,Entertainment
stationery cost 2383,Education
headphones 4468 rs,Shopping
bought dinner with friends for 403,Food
bought salon visit for 747,Personal Care
monthly medicines payment of 4792,Health
just got wedding present for 654,Gifts & Donations
purchase of skincare products - 11976,Shopping
bought skincare products for 1740 rupees,Shopping
bowling with friends cost 719,Entertainment
birthday gift cost 544,Gifts & Donations
spent 431 on groceries,Food
paid 203 for pet food,Other
bought health insurance premium for 4852,Health
water bill cost 13588,Utilities
"paid for snacks, amount was 869",Food
software license cost 241,Other
soap 894 rupees,Personal Care
amusement park entry cost 151,Entertainment
paid 280 rupees for protein powder,Personal Care
paid 3214 for coursera specialization,Education
haircut cost 87,Personal Care
bought water bill for 14442 inr,Utilities
spent 311 on video game,Entertainment
monthly laptop payment of 5842,Shopping
"paid for bowling with friends, amount was 173",Entertainment
purchase of Netflix subscription - 580,Entertainment
spent 14744 on pen and notebooks,Education
birthday gift 154 inr,Gifts & Donations
bought groceries for 749 inr,Food
paid 13219 for parking fee,Transport
bought udemy course for 10416 rupees,Education
monthly gift for anniversary payment of 729,Gifts & Donations
spent 12392 on phone recharge,Utilities
spent 2815 on house rent,Utilities
maintenance fee 10922,Utilities
monthly home decor payment of 1644,Shopping
monthly parking fee payment of 2363,Transport
recharged my laundry service with 530,Other
broadband payment 4020,Utilities
courier charges 614 inr,Other
"paid for udemy course, amount was 5509",Education
bought haircut for 457 rupees,Personal Care
"paid for pen and notebooks, amount was 9445",Education
monthly dinner with friends payment of 658,Food
paid 810 inr for bank fee,Other
"paid for doctor's visit fee, amount was 1905",Health
ice cream 192 inr,Food
monthly movie tickets payment of 444,Entertainment
just got vegetables for 225,Food
paid 135 rs for salon visit,Personal Care
bought pen and notebooks for 9564 rupees,Education
spent 413 on wedding present,Gifts & Donations
paid 1850 for broadband payment,Utilities
groceries cost 439,Food
just got water bill for 6392 rupees,Utilities
gift for anniversary 391 rs,Gifts & Donations
spent 14397 on mobile phone,Shopping
purchase of water bill - 11390,Utilities
just got train ticket for 2137 rupees,Transport
soap cost 517,Personal Care
just got donation to charity for 563,Gifts & Donations
coursera specialization 11885 rs,Education
spent 623 on maintenance fee,Utilities
home decor cost 6333,Shopping
paid 832 for sports match ticket,Entertainment
wedding present cost 507,Gifts & Donations
monthly udemy course payment of 480,Education
purchase of band-aids - 1167,Health
just got video game for 919 rs,Entertainment
bought metro card recharge for 6796 inr,Transport
"paid for house rent, amount was 11339",Utilities
bought Spotify premium for 556,Entertainment
monthly gift for anniversary payment of 435,Gifts & Donations
recharged my snacks with 517,Food
just got home repair for 236,Other
bought Netflix subscription for 753 rs,Entertainment
bought band-aids for 521 rs,Health
bought sunglasses for 3352,Shopping
paid 1969 rs for vitamins,Health
monthly auto rickshaw fare payment of 13040,Transport
purchase of contribution to fundraiser - 533,Gifts & Donations
donation to charity 738,Gifts & Donations
snacks cost 973,Food
recharged my cosmetics with 470,Personal Care
purchase of cosmetics - 486,Personal Care
purchase of shampoo - 883,Personal Care
salon visit 230 rupees,Personal Care
bank fee cost 582,Other
takeout food cost 954,Food
band-aids 2035 inr,Health
paid 87 rupees for video game,Entertainment
recharged my watch with 6986,Shopping
"paid for haircut, amount was 156",Personal Care
paid 785 rupees for wedding present,Gifts & Donations
just got fruits for 444 rs,Food
purchase of train ticket - 12335,Transport
"paid for water bill, amount was 625",Utilities
monthly textbooks payment of 14979,Education
purchase of bank fee - 355,Other
paid 956 for protein powder,Personal Care
health insurance premium 2950 rupees,Health
spent 87 on sports match ticket,Entertainment
monthly doctor's visit fee payment of 392,Health
just got uber ride for 11599 inr,Transport
medicines 4324 rs,Health
groceries cost 761,Food
"paid for courier charges, amount was 412",Other
recharged my birthday gift with 863,Gifts & Donations
spent 263 on wedding present,Gifts & Donations
concert tickets cost 140,Entertainment
"paid for wedding present, amount was 973",Gifts & Donations
purchase of donation to charity - 94,Gifts & Donations
spent 174 on bank fee,Other
purchase of shampoo - 431,Personal Care
paid 798 rupees for gift for anniversary,Gifts & Donations
bought soap for 734,Personal Care
just got bank fee for 689,Other
just got pet food for 365 rupees,Other
monthly vitamins payment of 3816,Health
band-aids cost 2157,Health
takeout food cost 90,Food
spent 4564 on hospital bill,Health
monthly vegetables payment of 97,Food
spent 2252 on hospital bill,Health
monthly laptop payment of 13109,Shopping
recharged my train ticket with 3401,Transport
just got phone recharge for 7523,Utilities
subscription service 6356 rupees,Utilities
"paid for contribution to fundraiser, amount was 882",Gifts & Donations
just got phone recharge for 14289 rupees,Utilities
recharged my taxi fare with 11251,Transport
paid 7142 for uber ride,Transport
paid 14233 rupees for maintenance fee,Utilities
paid 11181 inr for jeans,Shopping
just got watch for 13901 rupees,Shopping
recharged my birthday gift with 136,Gifts & Donations
monthly maintenance fee payment of 14453,Utilities
bought cosmetics for 188 rupees,Personal Care
bought courier charges for 105 rupees,Other
donation to charity cost 697,Gifts & Donations
laptop 1673 rupees,Shopping
home repair cost 282,Other
"paid for software license, amount was 595",Other
recharged my wedding present with 372,Gifts & Donations
recharged my wedding present with 436,Gifts & Donations
recharged my birthday gift with 723,Gifts & Donations
soap 189 rupees,Personal Care
purchase of medicines - 3744,Health
purchase of maintenance fee - 5093,Utilities
hospital bill 2346 inr,Health
"paid for running shoes, amount was 5092",Shopping
spent 10939 on bus ticket,Transport
recharged my takeout food with 87,Food
just got uber ride for 1647 rupees,Transport
bought electricity bill for 12777 rs,Utilities
purchase of magazine subscription - 903,Other
just got DTH recharge for 2899,Utilities
taxi fare cost 252,Transport
"paid for donation to charity, amount was 986",Gifts & Donations
paid 1320 rupees for book,Shopping
spent 149 on contribution to fundraiser,Gifts & Donations
bought band-aids for 1546 inr,Health
stationery 5346 inr,Education
"paid for sports match ticket, amount was 824",Entertainment
just got Spotify premium for 399 rs,Entertainment
donation to charity 218 rs,Gifts & Donations
monthly band-aids payment of 1935,Health
purchase of mobile phone - 10301,Shopping
bought courier charges for 994,Other
bought laundry service for 754 rupees,Other
lunch 307 rs,Food
recharged my laptop with 1290,Shopping
bought wedding present for 427 rs,Gifts & Donations
spent 597 on lab test,Health
bought home decor for 8970 rs,Shopping
paid 6871 rs for car service,Transport
pizza 646 rupees,Food
bank fee 640 rupees,Other
"paid for magazine subscription, amount was 273",Other
purchase of phone recharge - 9977,Utilities
restaurant meal cost 730,Food
spent 330 on dental checkup,Health
just got sports match ticket for 683,Entertainment
lab test cost 707,Health
donation to charity 176 rupees,Gifts & Donations
flight ticket cost 8604,Transport
just got dental checkup for 4768 rs,Health
just got medicines for 3728 rs,Health
monthly exam fee payment of 12112,Education
purchase of gym membership - 866,Personal Care
just got phone recharge for 4963 rupees,Utilities
monthly video game payment of 558,Entertainment
just got DTH recharge for 10853 rupees,Utilities
monthly gym membership payment of 974,Personal Care
"paid for home decor, amount was 3686",Shopping
monthly exam fee payment of 8808,Education
spent 2024 on dental checkup,Health
"paid for contribution to fundraiser, amount was 490",Gifts & Donations
spent 683 on cosmetics,Personal Care
spent 121 on birthday gift,Gifts & Donations
just got fuel for car for 8045 rupees,Transport
"paid for video game, amount was 811",Entertainment
recharged my breakfast with 972,Food
paid 971 for courier charges,Other
parking fee 7232 inr,Transport
monthly gym membership payment of 685,Personal Care
just got DTH recharge for 6628,Utilities
monthly textbooks payment of 13290,Education
monthly udemy course payment of 13802,Education
recharged my internet bill with 13281,Utilities
paid 2318 inr for hospital bill,Health
purchase of soap - 409,Personal Care
recharged my cosmetics with 279,Personal Care
purchase of bowling with friends - 444,Entertainment
purchase of stationery - 717,Education
"paid for phone recharge, amount was 501",Utilities
recharged my home repair with 293,Other
magazine subscription 437 inr,Other
purchase of udemy course - 13150,Education
DTH recharge cost 7449,Utilities
recharged my lunch with 813,Food
bought maintenance fee for 6570 inr,Utilities
health insurance premium 2234 rupees,Health
recharged my Netflix subscription with 71,Entertainment
just got broadband payment for 8906,Utilities
recharged my uber ride with 3294,Transport
pen and notebooks 4393 rupees,Education
monthly doctor's visit fee payment of 1557,Health
purchase of house rent - 6677,Utilities
spent 1413 on flight ticket,Transport
paid 14700 rs for pen and notebooks,Education
"paid for lab test, amount was 3290",Health
recharged my furniture with 2969,Shopping
recharged my water bill with 12423,Utilities
bought dental checkup for 527 rupees,Health
recharged my pet food with 784,Other
paid 939 inr for software license,Other
bought vegetables for 468 rupees,Food
bought dental checkup for 4530,Health
just got courier charges for 372,Other
just got textbooks for 1276 rupees,Education
Spotify premium cost 101,Entertainment
monthly birthday gift payment of 193,Gifts & Donations
recharged my new shirt with 10637,Shopping
gas cylinder 11629 rupees,Utilities
spent 418 on contribution to fundraiser,Gifts & Donations
bought online course fee for 1349 rupees,Education
bought udemy course for 14192 inr,Education
"paid for bank fee, amount was 861",Other
monthly textbooks payment of 649,Education
broadband payment cost 13837,Utilities
spent 299 on soap,Personal Care
donation to charity cost 271,Gifts & Donations
Spotify premium cost 554,Entertainment
pizza cost 671,Food
bought gas cylinder for 9513 inr,Utilities
recharged my Netflix subscription with 428,Entertainment
monthly book payment of 14284,Shopping
"paid for electricity bill, amount was 9778",Utilities
just got laptop for 6159 rs,Shopping
"paid for book, amount was 12047",Shopping
groceries cost 876,Food
donation to charity 371 inr,Gifts & Donations
monthly magazine subscription payment of 727,Other
monthly amusement park entry payment of 906,Entertainment
recharged my hospital bill with 2745,Health
just got protein powder for 254 rupees,Personal Care
purchase of cosmetics - 324,Personal Care
paid 217 rupees for restaurant meal,Food
recharged my gift with 9570,Shopping
spent 2980 on vitamins,Health
monthly textbooks payment of 8106,Education
postage stamp cost 510,Other
band-aids cost 2421,Health
recharged my flight ticket with 5056,Transport
recharged my postage stamp with 653,Other
bought medicines for 1316 rs,Health
fuel for car cost 13788,Transport
just got birthday gift for 463 rupees,Gifts & Donations
"paid for breakfast, amount was 321",Food
"paid for movie tickets, amount was 722",Entertainment
spent 8852 on electricity bill,Utilities
just got pizza for 807 inr,Food
monthly snacks payment of 496,Food
recharged my health insurance premium with 1539,Health
spent 255 on sports match ticket,Entertainment
just got DTH recharge for 5124 rupees,Utilities
postage stamp 488 rupees,Other
bought Spotify premium for 806 inr,Entertainment
bought maintenance fee for 11304 inr,Utilities
purchase of fuel for car - 4882,Transport
running shoes 6389 rupees,Shopping
recharged my Spotify premium with 661,Entertainment
sports match ticket 726 rupees,Entertainment
paid 958 inr for gym membership,Personal Care
bought pen and notebooks for 9711 rupees,Education
paid 689 for Spotify premium,Entertainment
bus ticket 332 rupees,Transport
recharged my amusement park entry with 902,Entertainment
groceries 141 rs,Food
paid 936 for donation to charity,Gifts & Donations
bought textbooks for 3703,Education
"paid for train ticket, amount was 13058",Transport
spent 3035 on book,Shopping
monthly birthday gift payment of 505,Gifts & Donations
just got vitamins for 418 rupees,Health
bought donation to charity for 831 inr,Gifts & Donations
purchase of contribution to fundraiser - 364,Gifts & Donations
"paid for broadband payment, amount was 11059",Utilities
bought cosmetics for 896 rs,Personal Care
paid 1578 for uber ride,Transport
just got breakfast for 699 rs,Food
shampoo 238 inr,Personal Care
purchase of broadband payment - 296,Utilities
monthly laptop payment of 2015,Shopping
"paid for ice cream, amount was 101",Food
just got vitamins for 2175,Health
paid 694 rs for contribution to fundraiser,Gifts & Donations
monthly exam fee payment of 10639,Education
"paid for train ticket, amount was 7682",Transport
spent 690 on wedding present,Gifts & Donations
monthly snacks payment of 158,Food
monthly courier charges payment of 310,Other
jeans cost 14906,Shopping
monthly Spotify premium payment of 480,Entertainment
purchase of udemy course - 9311,Education
bought wedding present for 499 rs,Gifts & Donations
haircut 329,Personal Care
spent 3024 on hospital bill,Health
bought protein powder for 850,Personal Care
recharged my donation to charity with 225,Gifts & Donations
snacks 712 inr,Food
spent 7946 on flight ticket,Transport
"paid for uber ride, amount was 6524",Transport
bought dental checkup for 2495,Health
recharged my video game with 409,Entertainment
paid 575 rupees for birthday gift,Gifts & Donations
monthly haircut payment of 785,Personal Care
monthly gift for anniversary payment of 627,Gifts & Donations
purchase of protein powder - 592,Personal Care
salon visit 887 rs,Personal Care
paid 7217 rupees for home decor,Shopping
recharged my donation to charity with 357,Gifts & Donations
"paid for coursera specialization, amount was 9483",Education
monthly laptop payment of 13313,Shopping
paid 1498 inr for jeans,Shopping
"paid for furniture, amount was 422",Shopping
"paid for magazine subscription, amount was 951",Other
"paid for bus ticket, amount was 13746",Transport
monthly electricity bill payment of 5510,Utilities
bought lab test for 306 inr,Health
bought exam fee for 5761 inr,Education
paid 866 for wedding present,Gifts & Donations
courier charges 70 inr,Other
just got parking fee for 8729 inr,Transport
postage stamp 749,Other
bought home repair for 569 inr,Other
monthly birthday gift payment of 132,Gifts & Donations
paid 6776 rs for stationery,Education
"paid for contribution to fundraiser, amount was 556",Gifts & Donations
monthly band-aids payment of 4238,Health
"paid for pastries, amount was 889",Food
purchase of lab test - 2508,Health
purchase of protein powder - 171,Personal Care
"paid for gift for anniversary, amount was 337",Gifts & Donations
cosmetics 965,Personal Care
postage stamp cost 763,Other
just got vitamins for 3356 inr,Health
bought exam fee for 840 inr,Education
purchase of mobile phone - 473,Shopping
just got gas cylinder for 2607,Utilities
purchase of breakfast - 283,Food
just got health insurance premium for 1629,Health
DTH recharge cost 9272,Utilities
purchase of pizza - 768,Food
just got stationery for 8896 inr,Education
recharged my takeout food with 70,Food
monthly jeans payment of 1094,Shopping
paid 2613 rs for dental checkup,Health
spent 102 on bank fee,Other
spent 683 on cosmetics,Personal Care
bought lab test for 3661,Health
bought udemy course for 9812 rs,Education
vegetables cost 988,Food
bought protein powder for 143 inr,Personal Care
purchase of textbooks - 587,Education
just got movie tickets for 281 rupees,Entertainment
recharged my coffee with 887,Food
recharged my fuel for car with 3968,Transport
paid 8936 rs for exam fee,Education
just got breakfast for 64,Food
paid 5019 for coursera specialization,Education
textbooks cost 11832,Education
spent 6676 on furniture,Shopping
purchase of pizza - 475,Food
monthly gym membership payment of 122,Personal Care
paid 10262 rupees for uber ride,Transport
paid 7894 rupees for train ticket,Transport
recharged my subscription service with 10892,Utilities
purchase of band-aids - 2671,Health
soap 392,Personal Care
"paid for cosmetics, amount was 516",Personal Care
recharged my courier charges with 275,Other
paid 210 for health insurance premium,Health
recharged my gym membership with 404,Personal Care
bought exam fee for 12154 inr,Education
bought car service for 2426 rs,Transport
purchase of restaurant meal - 888,Food
paid 3007 rupees for lab test,Health
bought vegetables for 490 inr,Food
spent 538 on magazine subscription,Other
spent 466 on protein powder,Personal Care
monthly courier charges payment of 846,Other
udemy course cost 7899,Education
purchase of concert tickets - 74,Entertainment
spent 7784 on exam fee,Education
"paid for sports match ticket, amount was 497",Entertainment
purchase of bowling with friends - 263,Entertainment
haircut 572 rupees,Personal Care
contribution to fundraiser 810,Gifts & Donations
textbooks 14416 inr,Education
monthly gift for anniversary payment of 716,Gifts & Donations
spent 208 on laundry service,Other
paid 7794 for house rent,Utilities
haircut cost 533,Personal Care
monthly lab test payment of 991,Health
purchase of laundry service - 804,Other
bought medicines for 4671,Health
purchase of internet bill - 4926,Utilities
bought donation to charity for 349 rs,Gifts & Donations
purchase of video game - 99,Entertainment
just got shampoo for 370 rupees,Personal Care
recharged my restaurant meal with 63,Food
purchase of pastries - 279,Food
mobile phone 5172,Shopping
monthly laundry service payment of 446,Other
spent 976 on laundry service,Other
lunch cost 605,Food
paid 13451 inr for parking fee,Transport
"paid for watch, amount was 6740",Shopping
jeans cost 12209,Shopping
recharged my protein powder with 992,Personal Care
just got doctor's visit fee for 4319 rupees,Health
movie tickets cost 662,Entertainment
furniture cost 14505,Shopping
just got contribution to fundraiser for 449,Gifts & Donations
recharged my contribution to fundraiser with 457,Gifts & Donations
paid 401 rs for postage stamp,Other
recharged my wedding present with 234,Gifts & Donations
band-aids cost 1477,Health
book cost 268,Shopping
purchase of gift for anniversary - 818,Gifts & Donations
paid 4309 for exam fee,Education
purchase of birthday gift - 913,Gifts & Donations
bought video game for 819 rupees,Entertainment
gym membership cost 180,Personal Care
haircut cost 883,Personal Care
just got movie tickets for 954 rupees,Entertainment
purchase of wedding present - 122,Gifts & Donations
paid 767 inr for vegetables,Food
purchase of water bill - 6884,Utilities
"paid for bank fee, amount was 293",Other
water bill cost 935,Utilities
magazine subscription cost 805,Other
"paid for headphones, amount was 13686",Shopping
recharged my shampoo with 106,Personal Care
just got ice cream for 652 inr,Food
just got water bill for 12503,Utilities
bought Spotify premium for 786,Entertainment
mobile phone 2846 inr,Shopping
recharged my bank fee with 213,Other
just got uber ride for 14481,Transport
just got wedding present for 984,Gifts & Donations
fuel for car 9303 rs,Transport
bought takeout food for 103 rupees,Food
recharged my medicines with 1891,Health
purchase of shampoo - 171,Personal Care
recharged my doctor's visit fee with 4811,Health
bought fruits for 249 inr,Food
spent 782 on video game,Entertainment
medicines cost 821,Health
just got concert tickets for 270,Entertainment
just got DTH recharge for 7430 rs,Utilities
purchase of health insurance premium - 2359,Health
bought jeans for 1346,Shopping
paid 921 rs for lunch,Food
spent 271 on sports match ticket,Entertainment
recharged my udemy course with 10084,Education
spent 285 on magazine subscription,Other
recharged my groceries with 337,Food
monthly bank fee payment of 882,Other
udemy course cost 13839,Education
just got breakfast for 735 rupees,Food
"paid for bowling with friends, amount was 767",Entertainment
"paid for soap, amount was 475",Personal Care
magazine subscription cost 526,Other
purchase of band-aids - 2729,Health
monthly pen and notebooks payment of 8712,Education
dinner with friends cost 766,Food
spent 1816 on water bill,Utilities
just got stationery for 2888 inr,Education
takeout food 419 rupees,Food
monthly broadband payment payment of 9165,Utilities
protein powder cost 816,Personal Care
haircut cost 143,Personal Care
monthly stationery payment of 8553,Education
paid 1709 inr for mobile phone,Shopping
spent 869 on birthday gift,Gifts & Donations
"paid for wedding present, amount was 860",Gifts & Donations
recharged my home repair with 419,Other
auto rickshaw fare cost 13443,Transport
purchase of doctor's visit fee - 709,Health
bought video game for 912 rupees,Entertainment
bought new shirt for 9527 rs,Shopping
monthly health insurance premium payment of 2999,Health
recharged my gift for anniversary with 880,Gifts & Donations
electricity bill cost 411,Utilities
paid 10470 rupees for bus ticket,Transport
recharged my pastries with 971,Food
Spotify premium 573 inr,Entertainment
purchase of taxi fare - 7017,Transport
just got donation to charity for 718,Gifts & Donations
paid 13445 rupees for auto rickshaw fare,Transport
paid 338 inr for donation to charity,Gifts & Donations
bought phone recharge for 856 rupees,Utilities
recharged my snacks with 672,Food
just got Netflix subscription for 276 rs,Entertainment
monthly Netflix subscription payment of 695,Entertainment
monthly contribution to fundraiser payment of 557,Gifts & Donations
monthly wedding present payment of 679,Gifts & Donations
"paid for coursera specialization, amount was 3290",Education
purchase of contribution to fundraiser - 82,Gifts & Donations
just got medicines for 4830 inr,Health
haircut cost 665,Personal Care
just got jeans for 11593 rupees,Shopping
paid 10438 rs for broadband payment,Utilities
concert tickets 553 rs,Entertainment
spent 3366 on watch,Shopping
paid 5157 rs for electricity bill,Utilities
